vehicle,range,time
1,1,100000
2,1200,100000
3,850,100000
4,1400,100000
5,1400,100000
6,850,100000
7,850,100000
8,1200,100000
9,1400,100000
10,850,100000
11,1,100000
12,1200,100000
13,850,100000
14,1400,100000
15,1400,100000
16,850,100000
17,850,100000
18,1200,100000
19,1400,100000
20,850,100000
21,1,100000
22,1200,100000
23,850,100000
24,1400,100000
25,1400,100000
26,850,100000
27,850,100000
28,1200,100000
29,1400,100000
30,850,100000
31,1,100000
32,1200,100000
33,850,100000
34,1400,100000
35,1400,100000
36,850,100000
37,850,100000
38,1200,100000
39,1400,100000
40,850,100000
41,1,100000
42,1200,100000
43,850,100000
44,1400,100000
45,1400,100000
46,850,100000
47,850,100000
48,1200,100000
49,1400,100000
50,850,100000
51,1,100000
52,1200,100000
53,850,100000
54,1400,100000
55,1400,100000
56,850,100000
57,850,100000
58,1200,100000
59,1400,100000
60,850,100000
61,1,100000
62,1200,100000
63,850,100000
64,1400,100000
65,1400,100000
66,850,100000
67,850,100000
68,1200,100000
69,1400,100000
70,850,100000
71,1,100000
72,1200,100000
73,850,100000
74,1400,100000
75,1400,100000
76,850,100000
77,850,100000
78,1200,100000
79,1400,100000
80,850,100000
81,1,100000
82,1200,100000
83,850,100000
84,1400,100000
85,1400,100000
86,850,100000
87,850,100000
88,1200,100000
89,1400,100000
90,850,100000
91,1,100000
92,1200,100000
93,850,100000
94,1400,100000
95,1400,100000
96,850,100000
97,850,100000
98,1200,100000
99,1400,100000
100,850,100000
