vehicle,parking,time
1,1,100000
2,2,100000
3,3,100000
4,4,100000
5,1,100000
6,2,100000
7,3,100000
8,4,100000
9,1,100000
10,2,100000 
11,3,100000 
12,4,100000 
13,1,100000 
14,2,100000 
15,3,100000 
16,4,100000 
17,1,100000 
18,2,100000 
19,3,100000 
20,4,100000 
21,1,100000 
22,2,100000 
23,3,100000 
24,4,100000 
25,1,100000 
26,2,100000 
27,3,100000 
28,4,100000 
29,1,100000 
30,2,100000 
31,3,100000 
32,4,100000 
33,1,100000 
34,2,100000 
35,3,100000 
36,4,100000 
37,1,100000 
38,2,100000 
39,3,100000 
40,4,100000 
41,1,100000 
42,2,100000 
43,3,100000 
44,4,100000 
45,1,100000 
46,2,100000 
47,3,100000 
48,4,100000 
49,1,100000 
50,2,100000 
51,3,100000 
52,4,100000 
53,1,100000 
54,2,100000 
55,3,100000 
56,4,100000 
57,1,100000 
58,2,100000 
59,3,100000 
60,4,100000 
61,1,100000 
62,2,100000 
63,3,100000 
64,4,100000 
65,1,100000 
66,2,100000 
67,3,100000 
68,4,100000 
69,1,100000 
70,2,100000 
71,3,100000 
72,4,100000 
73,1,100000 
74,2,100000 
75,3,100000 
76,4,100000 
77,1,100000 
78,2,100000 
79,3,100000 
80,4,100000 
81,1,100000 
82,2,100000 
83,3,100000 
84,4,100000 
85,1,100000 
86,2,100000 
87,3,100000 
88,4,100000 
89,1,100000 
90,2,100000 
91,3,100000 
92,4,100000 
93,1,100000 
94,2,100000 
95,3,100000 
96,4,100000 
97,1,100000 
98,2,100000 
99,3,100000 
100,4,100000 
101,1,100000 
102,2,100000 
103,3,100000 
104,4,100000 
105,1,100000 
106,2,100000 
107,3,100000 
108,4,100000 
109,1,100000 
110,2,100000 
111,3,100000 
112,4,100000 
113,1,100000 
114,2,100000 
115,3,100000 
116,4,100000 
117,1,100000 
118,2,100000 
119,3,100000 
120,4,100000 
121,1,100000 
122,2,100000 
123,3,100000 
124,4,100000 
125,1,100000 
126,2,100000 
127,3,100000 
128,4,100000 
129,1,100000 
130,2,100000 
131,3,100000 
132,4,100000 
133,1,100000 
134,2,100000 
135,3,100000 
136,4,100000 
137,1,100000 
138,2,100000 
139,3,100000 
140,4,100000 
141,1,100000 
142,2,100000 
143,3,100000 
144,4,100000 
145,1,100000 
146,2,100000 
147,3,100000 
148,4,100000 
149,1,100000 
150,2,100000 
151,3,100000 
152,4,100000 
153,1,100000 
154,2,100000 
155,3,100000 
156,4,100000 
157,1,100000 
158,2,100000 
159,3,100000 
160,4,100000 
161,1,100000 
162,2,100000 
163,3,100000 
164,4,100000 
165,1,100000 
166,2,100000 
167,3,100000 
168,4,100000 
169,1,100000 
170,2,100000 
171,3,100000 
172,4,100000 
173,1,100000 
174,2,100000 
175,3,100000 
176,4,100000 
177,1,100000 
178,2,100000 
179,3,100000 
180,4,100000 
181,1,100000 
182,2,100000 
183,3,100000 
184,4,100000 
185,1,100000 
186,2,100000 
187,3,100000 
188,4,100000 
189,1,100000 
190,2,100000 
191,3,100000 
192,4,100000 
193,1,100000 
194,2,100000 
195,3,100000 
196,4,100000 
197,1,100000 
198,2,100000 
199,3,100000 
200,4,100000 
201,1,100000 
202,2,100000 
203,3,100000 
204,4,100000 
205,1,100000 
206,2,100000 
207,3,100000 
208,4,100000 
209,1,100000 
210,2,100000 
211,3,100000 
212,4,100000 
213,1,100000 
214,2,100000 
215,3,100000 
216,4,100000 
217,1,100000 
218,2,100000 
219,3,100000 
220,4,100000 
221,1,100000 
222,2,100000 
223,3,100000 
224,4,100000 
225,1,100000 
226,2,100000 
227,3,100000 
228,4,100000 
229,1,100000 
230,2,100000 
231,3,100000 
232,4,100000 
233,1,100000 
234,2,100000 
235,3,100000 
236,4,100000 
237,1,100000 
238,2,100000 
239,3,100000 
240,4,100000 
241,1,100000 
242,2,100000 
243,3,100000 
244,4,100000 
245,1,100000 
246,2,100000 
247,3,100000 
248,4,100000 
249,1,100000 
250,2,100000 
251,3,100000 
252,4,100000 
253,1,100000 
254,2,100000 
255,3,100000 
256,4,100000 
257,1,100000 
258,2,100000 
259,3,100000 
260,4,100000 
261,1,100000 
262,2,100000 
263,3,100000 
264,4,100000 
265,1,100000 
266,2,100000 
267,3,100000 
268,4,100000 
269,1,100000 
270,2,100000 
271,3,100000 
272,4,100000 
273,1,100000 
274,2,100000 
275,3,100000 
276,4,100000 
277,1,100000 
278,2,100000 
279,3,100000 
280,4,100000 
281,1,100000 
282,2,100000 
283,3,100000 
284,4,100000 
285,1,100000 
286,2,100000 
287,3,100000 
288,4,100000 
289,1,100000 
290,2,100000 
291,3,100000 
292,4,100000 
293,1,100000 
294,2,100000 
295,3,100000 
296,4,100000 
297,1,100000 
298,2,100000 
299,3,100000 
300,4,100000 
301,1,100000 
302,2,100000 
303,3,100000 
304,4,100000 
305,1,100000 
306,2,100000 
307,3,100000 
308,4,100000 
309,1,100000 
310,2,100000 
311,3,100000 
312,4,100000 
313,1,100000 
314,2,100000 
315,3,100000 
316,4,100000 
317,1,100000 
318,2,100000 
319,3,100000 
320,4,100000 
321,1,100000 
322,2,100000 
323,3,100000 
324,4,100000 
325,1,100000 
326,2,100000 
327,3,100000 
328,4,100000 
329,1,100000 
330,2,100000 
331,3,100000 
332,4,100000 
333,1,100000 
334,2,100000 
335,3,100000 
336,4,100000 
337,1,100000 
338,2,100000 
339,3,100000 
340,4,100000 
341,1,100000 
342,2,100000 
343,3,100000 
344,4,100000 
345,1,100000 
346,2,100000 
347,3,100000 
348,4,100000 
349,1,100000 
350,2,100000 
351,3,100000 
352,4,100000 
353,1,100000 
354,2,100000 
355,3,100000 
356,4,100000 
357,1,100000 
358,2,100000 
359,3,100000 
360,4,100000 
361,1,100000 
362,2,100000 
363,3,100000 
364,4,100000 
365,1,100000 
366,2,100000 
367,3,100000 
368,4,100000 
369,1,100000 
370,2,100000 
371,3,100000 
372,4,100000 
373,1,100000 
374,2,100000 
375,3,100000 
376,4,100000 
377,1,100000 
378,2,100000 
379,3,100000 
380,4,100000 
381,1,100000 
382,2,100000 
383,3,100000 
384,4,100000 
385,1,100000 
386,2,100000 
387,3,100000 
388,4,100000 
389,1,100000 
390,2,100000 
391,3,100000 
392,4,100000 
393,1,100000 
394,2,100000 
395,3,100000 
396,4,100000 
397,1,100000 
398,2,100000 
399,3,100000 
400,4,100000 
401,1,100000 
402,2,100000 
403,3,100000 
404,4,100000 
405,1,100000 
406,2,100000 
407,3,100000 
408,4,100000 
409,1,100000 
410,2,100000 
411,3,100000 
412,4,100000 
413,1,100000 
414,2,100000 
415,3,100000 
416,4,100000 
417,1,100000 
418,2,100000 
419,3,100000 
420,4,100000 
421,1,100000 
422,2,100000 
423,3,100000 
424,4,100000 
425,1,100000 
426,2,100000 
427,3,100000 
428,4,100000 
429,1,100000 
430,2,100000 
431,3,100000 
432,4,100000 
433,1,100000 
434,2,100000 
435,3,100000 
436,4,100000 
437,1,100000 
438,2,100000 
439,3,100000 
440,4,100000 
441,1,100000 
442,2,100000 
443,3,100000 
444,4,100000 
445,1,100000 
446,2,100000 
447,3,100000 
448,4,100000 
449,1,100000 
450,2,100000 
451,3,100000 
452,4,100000 
453,1,100000 
454,2,100000 
455,3,100000 
456,4,100000 
457,1,100000 
458,2,100000 
459,3,100000 
460,4,100000 
461,1,100000 
462,2,100000 
463,3,100000 
464,4,100000 
465,1,100000 
466,2,100000 
467,3,100000 
468,4,100000 
469,1,100000 
470,2,100000 
471,3,100000 
472,4,100000 
473,1,100000 
474,2,100000 
475,3,100000 
476,4,100000 
477,1,100000 
478,2,100000 
479,3,100000 
480,4,100000 
481,1,100000 
482,2,100000 
483,3,100000 
484,4,100000 
485,1,100000 
486,2,100000 
487,3,100000 
488,4,100000 
489,1,100000 
490,2,100000 
491,3,100000 
492,4,100000 
493,1,100000 
494,2,100000 
495,3,100000 
496,4,100000 
497,1,100000 
498,2,100000 
499,3,100000 
500,4,100000 
501,1,100000 
502,2,100000 
503,3,100000 
504,4,100000 
505,1,100000 
506,2,100000 
507,3,100000 
508,4,100000 
509,1,100000 
510,2,100000 
511,3,100000 
512,4,100000 
513,1,100000 
514,2,100000 
515,3,100000 
516,4,100000 
517,1,100000 
518,2,100000 
519,3,100000 
520,4,100000 
521,1,100000 
522,2,100000 
523,3,100000 
524,4,100000 
525,1,100000 
526,2,100000 
527,3,100000 
528,4,100000 
529,1,100000 
530,2,100000 
531,3,100000 
532,4,100000 
533,1,100000 
534,2,100000 
535,3,100000 
536,4,100000 
537,1,100000 
538,2,100000 
539,3,100000 
540,4,100000 
541,1,100000 
542,2,100000 
543,3,100000 
544,4,100000 
545,1,100000 
546,2,100000 
547,3,100000 
548,4,100000 
549,1,100000 
550,2,100000 
551,3,100000 
552,4,100000 
553,1,100000 
554,2,100000 
555,3,100000 
556,4,100000 
557,1,100000 
558,2,100000 
559,3,100000 
560,4,100000 
561,1,100000 
562,2,100000 
563,3,100000 
564,4,100000 
565,1,100000 
566,2,100000 
567,3,100000 
568,4,100000 
569,1,100000 
570,2,100000 
571,3,100000 
572,4,100000 
573,1,100000 
574,2,100000 
575,3,100000 
576,4,100000 
577,1,100000 
578,2,100000 
579,3,100000 
580,4,100000 
581,1,100000 
582,2,100000 
583,3,100000 
584,4,100000 
585,1,100000 
586,2,100000 
587,3,100000 
588,4,100000 
589,1,100000 
590,2,100000 
591,3,100000 
592,4,100000 
593,1,100000 
594,2,100000 
595,3,100000 
596,4,100000 
597,1,100000 
598,2,100000 
599,3,100000 
600,4,100000 
601,1,100000 
602,2,100000 
603,3,100000 
604,4,100000 
605,1,100000 
606,2,100000 
607,3,100000 
608,4,100000 
609,1,100000 
610,2,100000 
611,3,100000 
612,4,100000 
613,1,100000 
614,2,100000 
615,3,100000 
616,4,100000 
617,1,100000 
618,2,100000 
619,3,100000 
620,4,100000 
621,1,100000 
622,2,100000 
623,3,100000 
624,4,100000 
625,1,100000 
626,2,100000 
627,3,100000 
628,4,100000 
629,1,100000 
630,2,100000 
631,3,100000 
632,4,100000 
633,1,100000 
634,2,100000 
635,3,100000 
636,4,100000 
637,1,100000 
638,2,100000 
639,3,100000 
640,4,100000 
641,1,100000 
642,2,100000 
643,3,100000 
644,4,100000 
645,1,100000 
646,2,100000 
647,3,100000 
648,4,100000 
649,1,100000 
650,2,100000 
651,3,100000 
652,4,100000 
653,1,100000 
654,2,100000 
655,3,100000 
656,4,100000 
657,1,100000 
658,2,100000 
659,3,100000 
660,4,100000 
661,1,100000 
662,2,100000 
663,3,100000 
664,4,100000 
665,1,100000 
666,2,100000 
667,3,100000 
668,4,100000 
669,1,100000 
670,2,100000 
671,3,100000 
672,4,100000 
673,1,100000 
674,2,100000 
675,3,100000 
676,4,100000 
677,1,100000 
678,2,100000 
679,3,100000 
680,4,100000 
681,1,100000 
682,2,100000 
683,3,100000 
684,4,100000 
685,1,100000 
686,2,100000 
687,3,100000 
688,4,100000 
689,1,100000 
690,2,100000 
691,3,100000 
692,4,100000 
693,1,100000 
694,2,100000 
695,3,100000 
696,4,100000 
697,1,100000 
698,2,100000 
699,3,100000 
