vehicle,parking,time
1,3,100000
2,3,100000
3,3,100000
4,3,100000
5,3,100000
6,3,100000
7,3,100000
8,3,100000
9,3,100000
10,3,10000
11,3,10000
12,3,10000
13,3,10000
14,3,10000
15,3,10000
16,3,10000
17,3,10000
18,3,10000
19,3,10000
20,3,10000
21,3,10000
22,3,10000
23,3,10000
24,3,10000
25,3,10000
26,3,10000
27,3,10000
28,3,10000
29,3,10000
30,3,10000
31,3,10000
32,3,10000
33,3,10000
34,3,10000
35,3,10000
36,3,10000
37,3,10000
38,3,10000
39,3,10000
40,3,10000
41,3,10000
42,3,10000
43,3,10000
44,3,10000
45,3,10000
46,3,10000
47,3,10000
48,3,10000
49,3,10000
50,3,10000
51,3,10000
52,3,10000
53,3,10000
54,3,10000
55,3,10000
56,3,10000
57,3,10000
58,3,10000
59,3,10000
60,3,10000
61,3,10000
62,3,10000
63,3,10000
64,3,10000
65,3,10000
66,3,10000
67,3,10000
68,3,10000
69,3,10000
70,3,10000
71,3,10000
72,3,10000
73,3,10000
74,3,10000
75,3,10000
76,3,10000
77,3,10000
78,3,10000
79,3,10000
80,3,10000
81,3,10000
82,3,10000
83,3,10000
84,3,10000
85,3,10000
86,3,10000
87,3,10000
88,3,10000
89,3,10000
90,3,10000
91,3,10000
92,3,10000
93,3,10000
94,3,10000
95,3,10000
96,3,10000
97,3,10000
98,3,10000
99,3,10000
100,3,10000
101,3,10000
102,3,10000
103,3,10000
104,3,10000
105,3,10000
106,3,10000
107,3,10000
108,3,10000
109,3,10000
110,3,10000
111,3,10000
112,3,10000
113,3,10000
114,3,10000
115,3,10000
116,3,10000
117,3,10000
118,3,10000
119,3,10000
120,3,10000
121,3,10000
122,3,10000
123,3,10000
124,3,10000
125,3,10000
126,3,10000
127,3,10000
128,3,10000
129,3,10000
130,3,10000
131,3,10000
132,3,10000
133,3,10000
134,3,10000
135,3,10000
136,3,10000
137,3,10000
138,3,10000
139,3,10000
140,3,10000
141,3,10000
142,3,10000
143,3,10000
144,3,10000
145,3,10000
146,3,10000
147,3,10000
148,3,10000
149,3,10000
150,3,10000
151,3,10000
152,3,10000
153,3,10000
154,3,10000
155,3,10000
156,3,10000
157,3,10000
158,3,10000
159,3,10000
160,3,10000
161,3,10000
162,3,10000
163,3,10000
164,3,10000
165,3,10000
166,3,10000
167,3,10000
168,3,10000
169,3,10000
170,3,10000
171,3,10000
172,3,10000
173,3,10000
174,3,10000
175,3,10000
176,3,10000
177,3,10000
178,3,10000
179,3,10000
180,3,10000
181,3,10000
182,3,10000
183,3,10000
184,3,10000
185,3,10000
186,3,10000
187,3,10000
188,3,10000
189,3,10000
190,3,10000
191,3,10000
192,3,10000
193,3,10000
194,3,10000
195,3,10000
196,3,10000
197,3,10000
198,3,10000
199,3,10000
200,3,10000
201,3,10000
202,3,10000
203,3,10000
204,3,10000
205,3,10000
206,3,10000
207,3,10000
208,3,10000
209,3,10000
210,3,10000
211,3,10000
212,3,10000
213,3,10000
214,3,10000
215,3,10000
216,3,10000
217,3,10000
218,3,10000
219,3,10000
220,3,10000
221,3,10000
222,3,10000
223,3,10000
224,3,10000
225,3,10000
226,3,10000
227,3,10000
228,3,10000
229,3,10000
230,3,10000
231,3,10000
232,3,10000
233,3,10000
234,3,10000
235,3,10000
236,3,10000
237,3,10000
238,3,10000
239,3,10000
240,3,10000
241,3,10000
242,3,10000
243,3,10000
244,3,10000
245,3,10000
246,3,10000
247,3,10000
248,3,10000
249,3,10000
250,3,10000
251,3,10000
252,3,10000
253,3,10000
254,3,10000
255,3,10000
256,3,10000
257,3,10000
258,3,10000
259,3,10000
260,3,10000
261,3,10000
262,3,10000
263,3,10000
264,3,10000
265,3,10000
266,3,10000
267,3,10000
268,3,10000
269,3,10000
270,3,10000
271,3,10000
272,3,10000
273,3,10000
274,3,10000
275,3,10000
276,3,10000
277,3,10000
278,3,10000
279,3,10000
280,3,10000
281,3,10000
282,3,10000
283,3,10000
284,3,10000
285,3,10000
286,3,10000
287,3,10000
288,3,10000
289,3,10000
290,3,10000
291,3,10000
292,3,10000
293,3,10000
294,3,10000
295,3,10000
296,3,10000
297,3,10000
298,3,10000
299,3,10000
300,3,10000
301,3,10000
302,3,10000
303,3,10000
304,3,10000
305,3,10000
306,3,10000
307,3,10000
308,3,10000
309,3,10000
310,3,10000
311,3,10000
312,3,10000
313,3,10000
314,3,10000
315,3,10000
316,3,10000
317,3,10000
318,3,10000
319,3,10000
320,3,10000
321,3,10000
322,3,10000
323,3,10000
324,3,10000
325,3,10000
326,3,10000
327,3,10000
328,3,10000
329,3,10000
330,3,10000
331,3,10000
332,3,10000
333,3,10000
334,3,10000
335,3,10000
336,3,10000
337,3,10000
338,3,10000
339,3,10000
340,3,10000
341,3,10000
342,3,10000
343,3,10000
344,3,10000
345,3,10000
346,3,10000
347,3,10000
348,3,10000
349,3,10000
350,3,10000
351,3,10000
352,3,10000
353,3,10000
354,3,10000
355,3,10000
356,3,10000
357,3,10000
358,3,10000
359,3,10000
360,3,10000
361,3,10000
362,3,10000
363,3,10000
364,3,10000
365,3,10000
366,3,10000
367,3,10000
368,3,10000
369,3,10000
370,3,10000
371,3,10000
372,3,10000
373,3,10000
374,3,10000
375,3,10000
376,3,10000
377,3,10000
378,3,10000
379,3,10000
380,3,10000
381,3,10000
382,3,10000
383,3,10000
384,3,10000
385,3,10000
386,3,10000
387,3,10000
388,3,10000
389,3,10000
390,3,10000
391,3,10000
392,3,10000
393,3,10000
394,3,10000
395,3,10000
396,3,10000
397,3,10000
398,3,10000
399,3,10000
400,3,10000
401,3,10000
402,3,10000
403,3,10000
404,3,10000
405,3,10000
406,3,10000
407,3,10000
408,3,10000
409,3,10000
410,3,10000
411,3,10000
412,3,10000
413,3,10000
414,3,10000
415,3,10000
416,3,10000
417,3,10000
418,3,10000
419,3,10000
420,3,10000
421,3,10000
422,3,10000
423,3,10000
424,3,10000
425,3,10000
426,3,10000
427,3,10000
428,3,10000
429,3,10000
430,3,10000
431,3,10000
432,3,10000
433,3,10000
434,3,10000
435,3,10000
436,3,10000
437,3,10000
438,3,10000
439,3,10000
440,3,10000
441,3,10000
442,3,10000
443,3,10000
444,3,10000
445,3,10000
446,3,10000
447,3,10000
448,3,10000
449,3,10000
450,3,10000
451,3,10000
452,3,10000
453,3,10000
454,3,10000
455,3,10000
456,3,10000
457,3,10000
458,3,10000
459,3,10000
460,3,10000
461,3,10000
462,3,10000
463,3,10000
464,3,10000
465,3,10000
466,3,10000
467,3,10000
468,3,10000
469,3,10000
470,3,10000
471,3,10000
472,3,10000
473,3,10000
474,3,10000
475,3,10000
476,3,10000
477,3,10000
478,3,10000
479,3,10000
480,3,10000
481,3,10000
482,3,10000
483,3,10000
484,3,10000
485,3,10000
486,3,10000
487,3,10000
488,3,10000
489,3,10000
490,3,10000
491,3,10000
492,3,10000
493,3,10000
494,3,10000
495,3,10000
496,3,10000
497,3,10000
